time,measured_kwh,simulated_kwh,difference
2024-01-01 00:00:00,,0.0,
2024-01-01 00:30:00,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0
2024-01-01 01:30:00,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0
2024-01-01 02:30:00,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0
2024-01-01 03:30:00,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0
2024-01-01 04:30:00,0.00611,0.005796480449102712,-0.0003135195508972878
2024-01-01 05:00:00,0.00065,0.011592960898205424,0.010942960898205425
2024-01-01 05:30:00,0.04569,0.18959423979014423,0.14390423979014422
2024-01-01 06:00:00,0.07568,0.36759551868208307,0.2919155186820831
2024-01-01 06:30:00,0.25356,0.5968983474912768,0.3433383474912768
2024-01-01 07:00:00,0.9718,0.8262011763004706,-0.14559882369952937
2024-01-01 07:30:00,0.85248,1.011163403298267,0.15868340329826702
2024-01-01 08:00:00,1.44817,1.1961256302960637,-0.2520443697039363
2024-01-01 08:30:00,1.62749,1.3602777816647862,-0.2672122183352139
2024-01-01 09:00:00,1.77464,1.524429933033509,-0.25021006696649106
2024-01-01 09:30:00,1.87985,1.6085692945493477,-0.2712807054506523
2024-01-01 10:00:00,1.9868,1.6927086560651865,-0.2940913439348134
2024-01-01 10:30:00,2.00096,1.7333355940559754,-0.2676244059440247
2024-01-01 11:00:00,2.01739,1.773962532046764,-0.24342746795323578
2024-01-01 11:30:00,2.02659,1.7748100431987544,-0.25177995680124576
2024-01-01 12:00:00,1.98443,1.775657554350745,-0.208772445649255
2024-01-01 12:30:00,1.89572,1.7335071587402502,-0.16221284125974988
2024-01-01 13:00:00,1.78809,1.6913567631297555,-0.09673323687024449
2024-01-01 13:30:00,1.6755,1.5946520240990463,-0.08084797590095372
2024-01-01 14:00:00,1.51592,1.497947285068337,-0.01797271493166286
2024-01-01 14:30:00,1.32975,1.3803244741849112,0.05057447418491123
2024-01-01 15:00:00,1.09856,1.2627016633014854,0.16414166330148539
2024-01-01 15:30:00,0.85892,1.0877373690354202,0.22881736903542016
2024-01-01 16:00:00,0.62218,0.9127730747693552,0.29059307476935525
2024-01-01 16:30:00,0.38332,0.7022632459764186,0.31894324597641865
2024-01-01 17:00:00,0.15317,0.49175341718348203,0.33858341718348206
2024-01-01 17:30:00,0.05345,0.3064806284947979,0.2530306284947979
2024-01-01 18:00:00,0.02836,0.12120783980611376,0.09284783980611376
2024-01-01 18:30:00,0.00102,0.06060391990305688,0.05958391990305688
2024-01-01 19:00:00,0.0,0.0,0.0
2024-01-01 19:30:00,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,0.0,0.0
2024-01-01 20:30:00,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,0.0,0.0
2024-01-01 21:30:00,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0
2024-01-01 22:30:00,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0
2024-01-01 23:30:00,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0
2024-01-02 00:30:00,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0
2024-01-02 01:30:00,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,0.0,0.0
2024-01-02 02:30:00,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,0.0,0.0
2024-01-02 03:30:00,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,0.0,0.0
2024-01-02 04:30:00,0.00753,0.004898744337099281,-0.0026312556629007194
2024-01-02 05:00:00,0.03944,0.009797488674198562,-0.02964251132580144
2024-01-02 05:30:00,0.06076,0.24898870686913213,0.18822870686913212
2024-01-02 06:00:00,0.2827,0.4881799250640657,0.2054799250640657
2024-01-02 06:30:00,0.80683,0.7042193706220097,-0.10261062937799037
2024-01-02 07:00:00,1.06222,0.9202588161799538,-0.1419611838200462
2024-01-02 07:30:00,1.28906,1.1136390498252227,-0.17542095017477743
2024-01-02 08:00:00,1.49926,1.3070192834704915,-0.19224071652950858
2024-01-02 08:30:00,1.67316,1.4951082047723152,-0.17805179522768477
2024-01-02 09:00:00,1.81229,1.683197126074139,-0.129092873925861
