Date and Time,Simulated (kWh),Actual (kWh)
2025-01-01,31.001707387,30.35625
2025-01-02,23.574047967,32.24963
2025-01-03,33.393467559,30.00356
2025-01-04,35.937652285,26.59168
2025-01-05,22.301429364,18.239259999999998
2025-01-06,34.911733752,9.44056
2025-01-07,32.374164098,30.48099
2025-01-08,24.454910968,30.47493
2025-01-09,27.200501112,21.20026
2025-01-10,31.289446328,19.6461
2025-01-11,35.523946905,24.25929
2025-01-12,36.42073653,19.46741
2025-01-13,32.925147582,26.82194
2025-01-14,15.833140273,30.03786
2025-01-15,18.051809155,14.54148
2025-01-16,14.12513007,29.89906
2025-01-17,35.487550743999996,32.44777
2025-01-18,34.705065679,30.756520000000002
2025-01-19,32.120841543,28.7909
2025-01-20,8.623414968,18.41251
2025-01-21,21.959022261,26.62942
2025-01-22,9.778988379,26.57567
2025-01-23,23.734449548,14.729470000000001
2025-01-24,32.971021663,31.53933
2025-01-25,32.027404173,26.1002
2025-01-26,32.570078253,27.89957
2025-01-27,16.78527283,25.25845
2025-01-28,34.825202989,32.05334
2025-01-29,24.400271865,31.07801
2025-01-30,22.32733819,30.40495
2025-01-31,19.640623558,30.01485
2025-02-01,29.002978319,28.46777
2025-02-02,26.267611139,24.56573
2025-02-03,23.98428236,21.66664
2025-02-04,7.165129881,18.8389
2025-02-05,10.70809666,27.911360000000002
2025-02-06,10.287163138,25.2632
2025-02-07,30.544020544,21.20248
2025-02-08,23.805337024,25.9542
2025-02-09,29.919535943,17.878330000000002
2025-02-10,26.987921948,21.12494
2025-02-11,16.827835309,26.6401
2025-02-12,31.755235371,26.88938
2025-02-13,28.489392,19.21256
2025-02-14,28.417272452,25.35717
2025-02-15,31.287466311,18.339100000000002
2025-02-16,27.096936656,21.76873
2025-02-17,34.466257258,28.64343
2025-02-18,25.226624178999998,27.52486
2025-02-19,18.917527968999998,30.50891
2025-02-20,11.396338524,29.35663
2025-02-21,18.970827319999998,26.72079
2025-02-22,23.552386594,23.38117
2025-02-23,23.685209952,16.98039
2025-02-24,30.245130201,28.76852
2025-02-25,27.869178091000002,27.2246
2025-02-26,26.527257365,25.84185
2025-02-27,24.768327139,25.76314
2025-02-28,24.027606398,24.81183
2025-03-01,22.983061171,17.77219
2025-03-02,16.602374463,25.76655
2025-03-03,16.825368424,13.94425
2025-03-04,9.795310394,0.0
2025-03-05,10.765927995,0.0
2025-03-06,29.701231781,0.0
2025-03-07,28.706725573,0.0
2025-03-08,22.92509814,0.0
2025-03-09,27.888030044,0.0
2025-03-10,25.745605757,0.0
2025-03-11,12.869675301000001,0.0
2025-03-12,19.927927060000002,0.0
2025-03-13,9.985604903,0.0
2025-03-14,11.865435551,0.0
2025-03-15,13.413789658,0.0
2025-03-16,11.712475936,0.0
2025-03-17,22.711463018,0.0
2025-03-18,21.531062341000002,0.0
2025-03-19,11.254702049,0.0
2025-03-20,24.777706087,0.0
2025-03-21,21.641996113,0.0
2025-03-22,18.439802227,0.0
2025-03-23,26.760494613,0.0
2025-03-24,26.499294204999998,0.0
2025-03-25,26.92177553,0.0
2025-03-26,24.713724348,0.0
2025-03-27,25.905268333,0.0
2025-03-28,23.460648239,0.0
2025-03-29,24.739736218,0.0
2025-03-30,21.599296221,0.0
2025-03-31,25.318741271,0.0
2025-04-01,24.255800612,0.0
2025-04-02,25.551749661,0.0
2025-04-03,11.430798239,0.0
2025-04-04,6.3172753429999995,0.0
2025-04-05,11.994638591,0.0
2025-04-06,6.552512399,0.0
2025-04-07,9.755342159,0.0
2025-04-08,18.092295595,0.0
2025-04-09,14.028583242,0.0
2025-04-10,22.476335713,0.0
2025-04-11,23.726170095,0.0
2025-04-12,22.94469439,0.0
