pv_kw,battery_kwh,IRR,NPC
0.0,0,,-232.76953260000008
0.0,2,,8062.268788092059
0.0,4,,16553.292389505703
0.0,6,,25171.828840775786
0.0,8,,33868.01442695801
0.0,10,,42659.4032808363
0.0,12,,51536.9753757194
0.0,14,,60441.75869014804
0.0,16,,69354.9456555478
0.0,18,,78272.29068266897
0.0,20,,87190.27770179149
0.0,22,,96108.26472091407
0.0,24,,105026.25174003663
0.0,26,,113944.23875915923
0.0,28,,122862.22577828169
0.0,30,,131780.21279740427
0.0,32,,140698.19981652685
0.0,34,,149616.1868356493
0.0,36,,158534.17385477194
0.0,38,,167452.16087389446
0.0,40,,176370.14789301704
0.0,42,,185288.13491213962
0.0,44,,194206.12193126214
0.0,46,,203124.10895038466
0.0,48,,212042.0959695072
0.0,50,,220960.08298862982
0.0,52,,229878.07000775234
0.0,54,,238796.05702687486
0.0,56,,247714.04404599743
0.0,58,,256632.03106511998
0.0,60,,265550.01808424253
0.0,62,,274468.00510336505
0.0,64,,283385.9921224877
0.0,66,,292303.9791416102
0.0,68,,301221.9661607328
0.0,70,,310139.9531798553
0.0,72,,319057.9401989778
0.0,74,,327975.9272181004
0.0,76,,336893.914237223
0.0,78,,345811.9012563455
0.0,80,,354729.888275468
0.0,82,,363647.8752945906
0.0,84,,372565.8623137132
0.0,86,,381483.8493328357
0.0,88,,390401.8363519583
0.0,90,,399319.8233710808
0.0,92,,408237.8103902034
0.0,94,,417155.7974093259
0.0,96,,426073.7844284484
0.0,98,,434991.771447571
0.0,100,,443909.7584666936
0.0,102,,452827.74548581615
0.0,104,,461745.7325049387
0.0,106,,470663.7195240612
0.0,108,,479581.70654318377
0.0,110,,488499.69356230635
0.0,112,,497417.68058142887
0.0,114,,506335.6676005513
0.0,116,,515253.6546196739
0.0,118,,524171.64163879654
0.0,120,,533089.6286579191
0.0,122,,542007.6156770417
0.0,124,,550925.6026961643
0.0,126,,559843.5897152867
0.0,128,,568761.5767344093
0.0,130,,577679.5637535318
0.0,132,,586597.5507726544
0.0,134,,595515.5377917769
0.0,136,,604433.5248108995
0.0,138,,613351.5118300221
0.0,140,,622269.4988491447
0.0,142,,631187.4858682672
0.0,144,,640105.4728873897
0.0,146,,649023.4599065123
0.0,148,,657941.4469256349
0.0,150,,666859.4339447573
0.0,152,,675777.4209638799
0.0,154,,684695.4079830025
0.0,156,,693613.3950021251
0.0,158,,702531.3820212475
0.0,160,,711449.3690403701
0.0,162,,720367.3560594927
0.0,164,,729285.3430786151
0.0,166,,738203.3300977377
0.0,168,,747121.3171168603
0.0,170,,756039.3041359829
0.0,172,,764957.2911551055
0.0,174,,773875.278174228
0.0,176,,782793.2651933505
0.0,178,,791711.2522124731
0.0,180,,800629.2392315957
0.0,182,,809547.2262507181
0.0,184,,818465.2132698408
0.0,186,,827383.2002889633
0.0,188,,836301.1873080858
0.0,190,,845219.1743272084
0.0,192,,854137.1613463309
0.0,194,,863055.1483654536
0.0,196,,871973.135384576
0.0,198,,880891.1224036986
0.0,200,,889809.1094228212
1.0,0,0.003671004756602425,-347.4487180204242
1.0,2,-0.11973689129806331,7679.844978884786
1.0,4,,15945.35226360976
1.0,6,,24414.836099132604
1.0,8,,33026.946776896206
1.0,10,,41727.14485295144
1.0,12,,50517.25062135928
1.0,14,,59382.147489290044
1.0,16,,68285.57755015857
1.0,18,,77199.15233241952
1.0,20,,86115.35999109398
1.0,22,,95032.19077934255
1.0,24,,103949.72881048039
1.0,26,,112867.70677174005
1.0,28,,121785.69379086257
1.0,30,,130703.68080998515
1.0,32,,139621.66782910773
1.0,34,,148539.6548482302
1.0,36,,157457.64186735277
1.0,38,,166375.62888647534
1.0,40,,175293.61590559792
1.0,42,,184211.60292472044
1.0,44,,193129.58994384302
1.0,46,,202047.57696296554
1.0,48,,210965.56398208803
1.0,50,,219883.55100121064
1.0,52,,228801.53802033322
1.0,54,,237719.52503945574
1.0,56,,246637.51205857832
1.0,58,,255555.4990777009
1.0,60,,264473.4860968235
1.0,62,,273391.473115946
1.0,64,,282309.4601350685
1.0,66,,291227.4471541911
1.0,68,,300145.4341733136
1.0,70,,309063.4211924362
1.0,72,,317981.4082115587
1.0,74,,326899.3952306813
1.0,76,,335817.3822498038
1.0,78,,344735.3692689264
1.0,80,,353653.3562880489
1.0,82,,362571.3433071715
1.0,84,,371489.33032629406
1.0,86,,380407.3173454166
1.0,88,,389325.3043645391
1.0,90,,398243.2913836617
1.0,92,,407161.27840278426
1.0,94,,416079.2654219068
1.0,96,,424997.2524410293
1.0,98,,433915.2394601519
1.0,100,,442833.22647927445
1.0,102,,451751.213498397
1.0,104,,460669.2005175196
1.0,106,,469587.1875366421
1.0,108,,478505.17455576465
1.0,110,,487423.1615748872
1.0,112,,496341.14859400975
1.0,114,,505259.1356131322
1.0,116,,514177.12263225485
1.0,118,,523095.1096513774
1.0,120,,532013.0966705
1.0,122,,540931.0836896226
1.0,124,,549849.0707087452
1.0,126,,558767.0577278676
1.0,128,,567685.0447469901
1.0,130,,576603.0317661128
1.0,132,,585521.0187852352
1.0,134,,594439.0058043578
1.0,136,,603356.9928234804
1.0,138,,612274.979842603
1.0,140,,621192.9668617256
1.0,142,,630110.953880848
1.0,144,,639028.9408999706
1.0,146,,647946.9279190932
1.0,148,,656864.9149382156
1.0,150,,665782.9019573382
1.0,152,,674700.8889764608
1.0,154,,683618.8759955834
1.0,156,,692536.863014706
1.0,158,,701454.8500338285
1.0,160,,710372.8370529511
1.0,162,,719290.8240720736
1.0,164,,728208.8110911961
1.0,166,,737126.7981103186
1.0,168,,746044.7851294412
1.0,170,,754962.7721485638
1.0,172,,763880.7591676863
1.0,174,,772798.7461868089
1.0,176,,781716.7332059315
1.0,178,,790634.720225054
1.0,180,,799552.7072441765
1.0,182,,808470.6942632991
1.0,184,,817388.6812824216
1.0,186,,826306.6683015442
1.0,188,,835224.6553206667
1.0,190,,844142.6423397893
1.0,192,,853060.6293589117
1.0,194,,861978.6163780343
1.0,196,,870896.6033971569
1.0,198,,879814.5904162794
1.0,200,,888732.5774354021
2.0,0,0.0407830095199353,-5260.042095871348
2.0,2,-0.01917073541331349,2519.296110878445
2.0,4,-0.11026436863208877,10497.402153815126
2.0,6,,18682.027741344245
2.0,8,,27071.76097479954
2.0,10,,35649.225774556595
2.0,12,,44363.61356648897
2.0,14,,53167.42023853789
2.0,16,,62025.94303440167
2.0,18,,70909.26559246823
2.0,20,,79812.49344116353
2.0,22,,88724.26407153034
2.0,24,,97640.17268973993
2.0,26,,106556.98148757074
2.0,28,,115473.84755483836
2.0,30,,124391.43068613794
2.0,32,,133309.31584918872
2.0,34,,142227.30286831135
2.0,36,,151145.2898874338
2.0,38,,160063.2769065564
2.0,40,,168981.26392567897
2.0,42,,177899.2509448015
2.0,44,,186817.23796392407
2.0,46,,195735.2249830466
2.0,48,,204653.21200216914
2.0,50,,213571.1990212917
2.0,52,,222489.18604041426
2.0,54,,231407.17305953678
2.0,56,,240325.16007865936
2.0,58,,249243.14709778194
2.0,60,,258161.13411690446
2.0,62,,267079.12113602704
2.0,64,,275997.1081551496
2.0,66,,284915.09517427214
2.0,68,,293833.08219339466
2.0,70,,302751.06921251724
2.0,72,,311669.05623163976
2.0,74,,320587.04325076233
2.0,76,,329505.03026988485
2.0,78,,338423.01728900743
2.0,80,,347341.00430813
2.0,82,,356258.99132725253
2.0,84,,365176.9783463751
2.0,86,,374094.9653654977
2.0,88,,383012.95238462015
2.0,90,,391930.9394037427
2.0,92,,400848.92642286525
2.0,94,,409766.9134419879
2.0,96,,418684.90046111034
2.0,98,,427602.8874802329
2.0,100,,436520.87449935556
2.0,102,,445438.861518478
2.0,104,,454356.8485376006
2.0,106,,463274.8355567231
2.0,108,,472192.82257584576
2.0,110,,481110.8095949683
2.0,112,,490028.7966140908
2.0,114,,498946.7836332133
2.0,116,,507864.77065233595
2.0,118,,516782.7576714585
2.0,120,,525700.744690581
2.0,122,,534618.7317097036
2.0,124,,543536.7187288261
2.0,126,,552454.7057479487
2.0,128,,561372.6927670712
2.0,130,,570290.6797861938
2.0,132,,579208.6668053163
2.0,134,,588126.6538244388
2.0,136,,597044.6408435614
2.0,138,,605962.627862684
2.0,140,,614880.6148818065
2.0,142,,623798.6019009291
2.0,144,,632716.5889200517
2.0,146,,641634.5759391743
2.0,148,,650552.5629582967
2.0,150,,659470.5499774193
2.0,152,,668388.5369965418
2.0,154,,677306.5240156644
2.0,156,,686224.5110347869
2.0,158,,695142.4980539095
2.0,160,,704060.4850730321
2.0,162,,712978.4720921547
2.0,164,,721896.4591112772
2.0,166,,730814.4461303997
2.0,168,,739732.4331495223
2.0,170,,748650.4201686447
2.0,172,,757568.4071877673
2.0,174,,766486.3942068899
2.0,176,,775404.3812260125
2.0,178,,784322.3682451351
2.0,180,,793240.3552642576
2.0,182,,802158.3422833801
2.0,184,,811076.3293025027
2.0,186,,819994.3163216253
2.0,188,,828912.3033407477
2.0,190,,837830.2903598703
2.0,192,,846748.2773789928
2.0,194,,855666.2643981155
2.0,196,,864584.251417238
2.0,198,,873502.2384363605
2.0,200,,882420.2254554831
3.0,0,0.06278304008280622,-9958.087947531692
3.0,2,0.014452744383560034,-2478.4125783738414
3.0,4,-0.03143250430713773,5245.0352816108625
3.0,6,-0.10220140456213067,13152.696449605053
3.0,8,,21240.139530285156
3.0,10,,29565.062581537786
3.0,12,,38125.76938689409
3.0,14,,46856.056226275614
3.0,16,,55664.30296674911
3.0,18,,64511.465706477684
3.0,20,,73381.89534703548
3.0,22,,82266.90984797133
3.0,24,,91164.59916686846
3.0,26,,100072.7068548532
3.0,28,,108986.10264804018
3.0,30,,117902.2637727164
3.0,32,,126819.07992325179
3.0,34,,135735.8960737873
3.0,36,,144653.35759514023
3.0,38,,153571.0330414983
3.0,40,,162489.0014576516
3.0,42,,171406.9884767742
3.0,44,,180324.97549589674
3.0,46,,189242.9625150193
3.0,48,,198160.9495341418
3.0,50,,207078.9365532644
3.0,52,,215996.92357238696
3.0,54,,224914.9105915095
3.0,56,,233832.89761063203
3.0,58,,242750.88462975458
3.0,60,,251668.87164887716
3.0,62,,260586.8586679997
3.0,64,,269504.84568712226
3.0,66,,278422.8327062448
3.0,68,,287340.81972536736
3.0,70,,296258.80674448994
3.0,72,,305176.79376361246
3.0,74,,314094.780782735
3.0,76,,323012.76780185755
3.0,78,,331930.75482098013
3.0,80,,340848.7418401027
3.0,82,,349766.72885922523
3.0,84,,358684.71587834775
3.0,86,,367602.7028974703
3.0,88,,376520.68991659285
3.0,90,,385438.6769357154
3.0,92,,394356.663954838
3.0,94,,403274.6509739605
3.0,96,,412192.637993083
3.0,98,,421110.62501220556
3.0,100,,430028.6120313282
3.0,102,,438946.5990504507
3.0,104,,447864.5860695733
3.0,106,,456782.57308869576
3.0,108,,465700.5601078184
3.0,110,,474618.5471269409
3.0,112,,483536.5341460635
3.0,114,,492454.521165186
3.0,116,,501372.5081843086
3.0,118,,510290.4952034311
3.0,120,,519208.48222255375
3.0,122,,528126.4692416763
3.0,124,,537044.4562607987
3.0,126,,545962.4432799213
3.0,128,,554880.4302990439
3.0,130,,563798.4173181665
3.0,132,,572716.404337289
3.0,134,,581634.3913564116
3.0,136,,590552.3783755341
3.0,138,,599470.3653946567
3.0,140,,608388.3524137792
3.0,142,,617306.3394329017
3.0,144,,626224.3264520243
3.0,146,,635142.3134711469
3.0,148,,644060.3004902694
3.0,150,,652978.287509392
3.0,152,,661896.2745285146
3.0,154,,670814.261547637
3.0,156,,679732.2485667596
3.0,158,,688650.2355858821
3.0,160,,697568.2226050047
3.0,162,,706486.2096241273
3.0,164,,715404.1966432498
3.0,166,,724322.1836623724
3.0,168,,733240.170681495
3.0,170,,742158.1577006176
3.0,172,,751076.14471974
3.0,174,,759994.1317388626
3.0,176,,768912.1187579851
3.0,178,,777830.1057771076
3.0,180,,786748.0927962302
3.0,182,,795666.0798153528
3.0,184,,804584.0668344754
3.0,186,,813502.053853598
3.0,188,,822420.0408727204
3.0,190,,831338.027891843
3.0,192,,840256.0149109655
3.0,194,,849174.001930088
3.0,196,,858091.9889492106
3.0,198,,867009.9759683332
3.0,200,,875927.9629874558
4.0,0,0.07744948181005751,-14408.649401231982
4.0,2,0.035363957119988854,-7246.678495164805
4.0,4,-0.0006981931786477213,147.71768585301413
4.0,6,-0.03812512167605864,7738.923148425564
4.0,8,-0.0940746596463401,15567.053510385838
4.0,10,,23636.437964823348
4.0,12,,31974.01531149658
4.0,14,,40521.83519617934
4.0,16,,49214.84704392786
4.0,18,,57995.099502946156
4.0,20,,66816.68377975507
4.0,22,,75663.9800970017
4.0,24,,84530.56910888999
4.0,26,,93409.49915839238
4.0,28,,102298.96244364255
4.0,30,,111198.58750769614
4.0,32,,120106.48477851017
4.0,34,,129019.41616007008
4.0,36,,137935.4714672744
4.0,38,,146852.23557547425
4.0,40,,155769.05172600973
4.0,42,,164686.0570507346
4.0,44,,173603.5871741799
4.0,46,,182521.25713669963
4.0,48,,191439.20953167768
4.0,50,,200357.19655080023
4.0,52,,209275.1835699228
4.0,54,,218193.17058904536
4.0,56,,227111.1576081679
4.0,58,,236029.14462729043
4.0,60,,244947.131646413
4.0,62,,253865.11866553553
4.0,64,,262783.1056846581
4.0,66,,271701.0927037807
4.0,68,,280619.0797229032
4.0,70,,289537.0667420258
4.0,72,,298455.05376114836
4.0,74,,307373.0407802708
4.0,76,,316291.0277993934
4.0,78,,325209.014818516
4.0,80,,334127.0018376385
4.0,82,,343044.9888567611
4.0,84,,351962.9758758836
4.0,86,,360880.9628950062
4.0,88,,369798.9499141287
4.0,90,,378716.93693325133
4.0,92,,387634.9239523738
4.0,94,,396552.91097149637
4.0,96,,405470.8979906189
4.0,98,,414388.8850097415
4.0,100,,423306.872028864
4.0,102,,432224.85904798657
4.0,104,,441142.84606710915
4.0,106,,450060.8330862316
4.0,108,,458978.8201053542
