Parameter,Value,Units,Description
PV Size,11.0,kW,Optimal PV system size
Battery Size,0.0,kWh,Optimal battery energy capacity
Battery Power,0.0,kW,Battery power rating (0.5C rate)
Battery Min SOC,0.2,fraction,Minimum state of charge (depth of discharge = 80%)
Battery Round-Trip Efficiency,0.9,fraction,Round-trip efficiency (charge/discharge losses)
Battery Degradation Rate,0.01,fraction/year,Annual capacity degradation rate
PV Cost,1000.0,$/kW,PV system cost per kW
PV Installation Cost,5000.0,$,Fixed PV installation cost
Battery Cost,1000.0,$/kWh,Battery cost per kWh
Battery Installation Cost,174.0,$/kWh,Battery installation cost per kWh
PV Maintenance,0.15,$/day,Daily PV maintenance cost
Battery Maintenance,0.3,$/kWh/day,Daily battery maintenance cost per kWh
Discount Rate,0.07,fraction,Discount rate for financial calculations
Peak Import Rate,0.3971,$/kWh,Electricity import cost during peak hours
Off-Peak Import Rate,0.1353,$/kWh,Electricity import cost during off-peak hours
Feed-in Tariff,0.033,$/kWh,Rate paid for exported PV generation
Grid Emission Rate,0.88,kg CO2e/kWh,Grid electricity carbon intensity
Total Demand,1318609.4880000001,kWh,Total electricity demand over 30 years
Total PV Generation,472671.9978129028,kWh,Total PV generation over 30 years
Total PV Used Directly,312579.35998457763,kWh,Total PV generation used directly
Total Battery Discharge,0.0,kWh,Total energy discharged from battery
Total Grid Import (Peak),309828.7472549096,kWh,Total grid imports during peak hours
Total Grid Import (Off-Peak),696201.3807605129,kWh,Total grid imports during off-peak hours
Total PV Export,160092.6378283251,kWh,Total PV generation exported to grid
Renewable Fraction,0.2370522606042234,fraction,Fraction of demand met by renewable sources (PV + battery)
Self-Consumption Rate,0.6613028938268215,fraction,Fraction of PV generation used on-site (directly or via battery)
CAPEX PV,16000.0,$,Capital expenditure for PV system
CAPEX Battery,0.0,$,Capital expenditure for battery system
CAPEX Total,16000.0,$,Total capital expenditure
OPEX Total,18067.5,$,Total operational expenditure over 30 years
Export Revenue,5283.057048334728,$,Total revenue from exported PV over 30 years
Import Cost,217229.04235182202,$,Cost of grid imports with PV+battery system
Baseline Import Cost,283686.38747262,$,Cost of grid imports without PV+battery (baseline)
Net Present Cost,-37672.90216913271,$,Net present cost of the system (negative = profit)
IRR,0.10643981296724725,fraction,Internal rate of return
