pv_kw,battery_kwh,IRR,NPC,NPV,pv_cost_per_kw,battery_cost_per_kwh,capex_total,opex_total,export_revenue,import_cost,payback_years,annual_savings,total_savings,pv_battery_savings,battery_total_cycles,battery_degradation_pct,renewable_fraction
0.0,0,0.0,-232.76953260000008,232.76953260000008,0.0,0.0,0.0,0.0,232.76953260000008,283230.571734913,inf,7.758984420000003,232.76953260000008,232.76953260000008,0.0,0.0,-0.005358435681534501
0.0,2,0.0,2659.9656020583375,-2659.9656020583375,0.0,969.7508780298202,2287.5017560596407,1314.0,117.91953559166673,282406.95511650335,inf,-12.415461533289893,941.5361540013032,941.5361540013032,1566.1469241414934,25.903975436290573,-0.002978921348928113
0.0,4,0.0,5771.692656177221,-5771.692656177221,0.0,962.0238204468434,4544.095281787373,2628.0,63.46343457346939,281893.6325438763,inf,-40.91991247966158,1400.4026256101524,1400.4026256101524,1154.3710473709168,25.903975436290573,-0.0018506645905550841
0.0,6,0.0,9000.645343730874,-9000.645343730874,0.0,954.3583327167466,6770.14999630048,3942.0,31.441416748460302,281550.50849909184,inf,-74.34984491434653,1711.5046525696046,1711.5046525696046,915.1394719314616,25.903975436294342,-0.0011872034882551895
0.0,8,0.0,12314.682979958918,-12314.682979958918,0.0,946.7539242456988,8966.03139396559,5256.0,11.119906195410483,281334.3432271017,inf,-111.6217195331109,1907.3484140066723,1907.3484140066723,755.6357414176632,25.903975436290573,-0.0007661562492108365
0.0,10,0.0,15733.107328942464,-15733.107328942464,0.0,939.210108348962,11132.101083489619,6570.0,3.231342604972966,281264.8093229708,inf,-153.36687484842815,1968.9937545471546,1968.9937545471546,626.0254455006975,25.903975436291272,-0.0006026988563902735
0.0,12,0.0,19167.842384859418,-19167.842384859418,0.0,931.7264022197439,13268.716826636926,7884.0,0.9200417530165713,281246.6173348885,inf,-196.63751860741635,1984.87444177751,1984.87444177751,526.9429181381994,25.903975436294342,-0.0005547935448456597
0.0,14,0.0,22584.89554507005,-22584.89554507005,0.0,924.3023268982979,15376.23257657617,9197.999999999998,0.10807678645124666,281241.3427801933,inf,-240.28876561646257,1989.3370315061218,1989.3370315061218,453.2488825144921,25.903975436291265,-0.0005379521311767606
0.0,16,0.0,25977.365704152573,-25977.365704152573,0.0,916.9374072412693,17454.99851586031,10512.0,0.0,281240.93892320525,inf,-284.0789062764088,1989.6328117077355,1989.6328117077355,396.778536084427,25.903975436290573,-0.0005356942187511804
0.0,18,0.0,29341.72324205123,-29341.72324205123,0.0,909.631171891286,19505.36109404315,11826.000000000002,0.0,281240.93388292106,inf,-327.8787382669359,1989.6378519919235,1989.6378519919235,352.6933973344185,25.903975436287958,-0.0005356755500759001
0.0,20,0.0,32678.02017265967,-32678.02017265967,0.0,902.3831532467918,21527.663064935838,13140.0,0.0,281240.9288426368,inf,-371.678570257461,1989.6428922761697,1989.6428922761697,317.4252863344274,25.903975436291272,-0.0005356568814006143
0.0,22,0.0,35986.59559094621,-35986.59559094621,0.0,895.1928874321197,23522.243523506633,14453.999999999998,0.0,281240.92380235257,inf,-415.4784022479861,1989.647932560416,1989.647932560416,288.569559152601,25.90397543628649,-0.0005356382127253312
0.0,24,0.0,39267.784969582724,-39267.784969582724,0.0,888.059914267803,25489.43794242727,15768.0,0.0,281240.91876206844,inf,-459.27823423851515,1989.6529728445457,1989.6529728445457,264.52311983443354,25.903975436294342,-0.0005356195440500467
0.0,26,0.0,42521.92019514044,-42521.92019514044,0.0,880.9837772411245,27429.578208269235,17082.0,0.0,281240.9137217842,inf,-503.07806622904025,1989.658013128792,1989.658013128792,244.17613271903778,25.90397543628995,-0.0005356008753747637
0.0,28,0.0,45749.32960394019,-45749.32960394019,0.0,873.9640234768991,29342.99265735317,18395.999999999996,0.0,281240.9086815,inf,-546.8778982195672,1989.66305341298,1989.66305341298,226.73585804871394,25.903975436291265,-0.0005355822066994806
0.0,30,0.0,48950.33801755747,-48950.33801755747,0.0,867.0002037084901,31230.0061112547,19709.999999999996,0.0,281240.90364121576,inf,-590.6777302100924,1989.6680936972261,1989.6680936972261,211.62095333442446,25.90397543628866,-0.0005355635380241989
0.0,32,0.0,52125.26677798823,-52125.26677798823,0.0,860.0918722490551,33090.93991196976,21024.0,0.0,281240.89860093145,inf,-634.4775622006156,1989.6731339815306,1989.6731339815306,198.3954117094274,25.903975436290573,-0.0005355448693489145
0.0,34,0.0,55274.43378247711,-55274.43378247711,0.0,853.2385869630226,34926.11195674277,22338.0,0.0,281240.8935606473,inf,-678.2773941911447,1989.6781742656603,1989.6781742656603,186.7258161579508,25.90397543628933,-0.00053552620067363
0.0,36,0.0,58398.153518010775,-58398.153518010775,0.0,846.4399092377952,36735.83673256062,23652.000000000004,0.0,281240.88852036314,inf,-722.0772261816718,1989.6832145498483,1989.6832145498483,176.35284233442087,25.903975436287958,-0.0005355075319983476
0.0,38,0.0,61496.73709548166,-61496.73709548166,0.0,839.6954039556778,38520.42535031575,24965.999999999996,0.0,281240.8834800789,inf,-765.8770581721968,1989.6882548340946,1989.6882548340946,167.0717604923192,25.90397543628462,-0.000535488863323061
0.0,40,0.0,64570.49228352292,-64570.49228352292,0.0,833.0046394660302,40280.185578641205,26280.0,0.0,281240.8784397947,inf,-809.6768901627239,1989.6932951182825,1989.6932951182825,158.71878683442407,25.903975436291272,-0.0005354701946477794
0.0,42,0.0,67619.72354201842,-67619.72354201842,0.0,826.3671875576413,42015.42187742094,27594.0,0.0,281240.87339951046,inf,-853.476722153249,1989.6983354025288,1989.6983354025288,151.1613344772822,25.90397543629252,-0.0005354515259724942
0.0,44,0.0,70644.73205529139,-70644.73205529139,0.0,819.7826234313234,43726.43543097823,28907.999999999996,0.0,281240.86835922615,inf,-897.2765541437722,1989.7033756868332,1989.7033756868332,144.29092324351566,25.90397543628649,-0.0005354328572972105
0.0,46,0.0,73645.81576497437,-73645.81576497437,0.0,813.2505256727247,45413.52418094534,30222.0,0.0,281240.863318942,inf,-941.0763861343012,1989.708415970963,1989.708415970963,138.0179390735556,25.903975436289624,-0.0005354141886219267
0.0,48,0.0,76623.26940256209,-76623.26940256209,0.0,806.7704762253591,47076.98285881724,31536.0,0.0,281240.85827865783,inf,-984.8762181248284,1989.713456255151,1989.713456255151,132.2677035844238,25.903975436294342,-0.0005353955199466436
0.0,50,0.0,79577.38452165312,-79577.38452165312,0.0,800.3420603638504,48717.103018192516,32850.0,0.0,281240.8532383736,inf,-1028.6760501153535,1989.7184965393972,1989.7184965393972,126.97748693442432,25.90397543629022,-0.0005353768512713585
0.0,52,0.0,82508.44952988051,-82508.44952988051,0.0,793.9648666673887,50334.173066704214,34164.0,0.0,281240.8481980893,inf,-1072.4758821058765,1989.7235368237016,1989.7235368237016,122.09421002673324,25.90397543628995,-0.0005353581825960781
0.0,54,0.0,85416.74972053584,-85416.74972053584,0.0,787.6384869934012,51928.47829764367,35478.0,0.0,281240.84315780515,inf,-1116.2757140964056,1989.7285771078314,1989.7285771078314,117.57265733442244,25.903975436290054,-0.0005353395139207923
0.0,56,0.0,88302.56730388795,-88302.56730388795,0.0,781.3625164514291,53500.30092128003,36791.99999999999,0.0,281240.8381175209,inf,-1160.0755460869307,1989.7336173920776,1989.7336173920776,113.37407269156793,25.903975436291265,-0.000535320845245512
