metric,value,unit,description
total_pv_capacity,56.49088303436051,kW,Total PV system capacity (existing + additional)
additional_pv_capacity,46.49088303436051,kW,Additional PV capacity beyond existing system
battery_capacity,16.538014422813724,kWh,Battery energy storage capacity
total_demand,1316358.4711302347,kWh,Total electricity demand over 30 years
total_pv_used,648676.0158650224,kWh,PV generation used directly to satisfy demand
total_battery_discharge,121237.3422890038,kWh,Energy discharged from battery storage
total_grid_import_peak,81935.3920724614,kWh,Grid electricity imported during peak periods
total_grid_import_offpeak,469158.5042643467,kWh,Grid electricity imported during off-peak periods
total_pv_export,1253406.5743121787,kWh,Excess PV generation exported to grid
total_grid_emissions,435364.1781060784,kg CO2e,CO2 emissions from grid electricity
renewable_fraction,0.5848812272943958,fraction,Fraction of demand met by renewable sources
grid_fraction,0.41511877270560416,fraction,Fraction of demand met by grid imports
self_consumption_rate,0.3410346213224057,fraction,Fraction of PV generation consumed on-site
pv_capex,46975.82431510518,$,Capital cost for additional PV capacity
battery_capex,18009.339165591544,$,Capital cost for battery storage
total_capex,64985.16348069672,$,Total capital expenditure
annual_maintenance,250.0,$/year,Annual maintenance cost
total_maintenance,7500.0,$,Total maintenance cost over 30 years
npv,40191.51109712804,$,Net Present Value of investment
irr,0.11661241156208253,fraction,Internal Rate of Return
simple_payback,10.52437174774886,years,Simple payback period against PV-only baseline
lcoe,0.03404732007672207,$/kWh,Levelized Cost of Energy
