year,escalation_factor,peak_rate,offpeak_rate,export_rate,import_cost,export_revenue,maintenance,net_cost,pv_only_cost,savings_vs_pv_only
1,1.0,0.3971,0.1353,0.033,6707.078942150525,304.01433215477374,250,6653.064609995751,8246.44,1593.3753900042493
2,1.03,0.409013,0.139359,0.03399,6908.291310415041,313.1347621194169,250,6845.156548295624,8493.833200000001,1648.676651704377
3,1.0609,0.42128339,0.14353977,0.0350097,7115.540049727493,322.5288049829994,250,7043.0112447444935,8748.648196,1705.6369512555066
4,1.092727,0.4339218917,0.1478459631,0.036059991,7329.006251219318,332.2046691324894,250,7246.801582086829,9011.10764188,1764.3060597931717
5,1.1255088100000001,0.4469395484510001,0.15228134199300003,0.037141790730000006,7548.876438755899,342.1708092064641,250,7456.705629549435,9281.440871136401,1824.7352415869664
6,1.1592740743,0.46034773490453,0.15684978225279,0.038256044451900006,7775.342731918574,352.4359334826581,250,7672.906798435916,9559.884097270493,1886.9772988345767
7,1.1940522965290001,0.47415816695166596,0.16155527572037373,0.039403725785457006,8008.603013876132,363.0090114871378,250,7895.594002388993,9846.680620188608,1951.086617799615
8,1.2298738654248702,0.488382911960216,0.16640193399198494,0.04058583755902072,8248.861104292417,373.899281831752,250,8124.961822460665,10142.081038794267,2017.1192163336027
9,1.2667700813876164,0.5030343993190225,0.1713939920117445,0.041803412685791345,8496.326937421189,385.1162602867046,250,8361.210677134484,10446.343469958096,2085.1327928236115
10,1.304773183829245,0.5181254312985931,0.17653581177209685,0.043057515066365085,8751.216745543825,396.6697480953057,250,8604.546997448519,10759.733774056838,2155.1867766083196
11,1.3439163793441222,0.533669194237551,0.18183188612525975,0.04434924051835604,9013.753247910141,408.5698405381649,250,8855.183407371977,11082.525787278544,2227.3423799065677
12,1.384233870724446,0.5496792700646775,0.18728684270901755,0.045679717733906715,9284.165845347445,420.8269357543098,250,9113.338909593134,11415.0015608969,2301.6626513037663
13,1.4257608868461793,0.5661696481666179,0.19290544799028805,0.04705010926592392,9562.690820707867,433.45174382693915,250,9379.239076880927,11757.451607723808,2378.2125308428804
14,1.4685337134515648,0.5831547376116164,0.19869261142999672,0.04846161254390164,9849.571545329105,446.45529614174734,250,9653.116249187358,12110.175155955523,2457.058906768165
15,1.512589724855112,0.6006493797399649,0.20465338977289665,0.049915460920218695,10145.058691688977,459.84895502599977,250,9935.209736662977,12473.480410634189,2538.270673971212
16,1.557967416600765,0.6186688611321638,0.21079299146608352,0.05141292474782525,10449.410452439646,473.64442367677975,250,10225.766028762866,12847.684822953213,2621.9187941903474
17,1.6047064390987882,0.6372289269661288,0.21711678121006606,0.05295531249026001,10762.892766012836,487.85375638708314,250,10525.039009625752,13233.115367641813,2708.07635801606
18,1.6528476322717518,0.6563457947751127,0.22363028464636803,0.05454397186496781,11085.779548993221,502.48936907869563,250,10833.290179914526,13630.108828671066,2796.81864875654
19,1.7024330612399046,0.6760361686183661,0.2303391931857591,0.05618029102091685,11418.35293546302,517.5640501510566,250,11150.788885311962,14039.012093531199,2888.2232082192368
20,1.7535060530771016,0.6963172536769171,0.23724936898133187,0.057865699751544354,11760.903523526911,533.0909716555882,250,11477.812551871322,14460.182456337136,2982.3699044658133
21,1.8061112346694148,0.7172067712872247,0.24436685005077183,0.059601670744090694,12113.73062923272,549.083700805256,250,11814.646928427463,14893.98793002725,3079.341001599787
22,1.8602945717094972,0.7387229744258413,0.25169785555229496,0.06138972086641341,12477.1425481097,565.5562118294135,250,12161.586336280287,15340.807567928066,3179.22123164778
23,1.9161034088607822,0.7608846636586166,0.25924879121886385,0.06323141249240581,12851.456824552992,582.522898184296,250,12518.933926368696,15801.03179496591,3282.097868597213
24,1.9735865111266058,0.7837112035683752,0.26702625495542975,0.065128354867178,13237.00052928958,599.998585129825,250,12887.001944159756,16275.062748814888,3388.0608046551315
25,2.032794106460404,0.8072225396754265,0.2750370426040927,0.06708220551319334,13634.110545168269,617.9985426837197,250,13266.11200248455,16763.314631279336,3497.2026287947865
26,2.093777929654216,0.8314392158656893,0.28328815388221545,0.06909467167858914,14043.133861523318,636.5384989642314,250,13656.595362559086,17266.214070217713,3609.6187076586266
27,2.156591267543843,0.85638239234166,0.29178679849868194,0.07116751182894682,14464.42787736902,655.6346539331583,250,14058.793223435861,17784.20049232425,3725.407268888388
28,2.221289005570158,0.8820738641119098,0.3005404024536424,0.07330253718381523,14898.360713690088,675.3036935511532,250,14473.057020138935,18317.726507093976,3844.669486955041
29,2.287927675737263,0.9085360800352671,0.3095566145272517,0.07550161329932968,15345.311535100791,695.5628043576877,250,14899.748730743104,18867.258302306796,3967.5095715636926
30,2.356565506009381,0.9357921624363251,0.3188433129630692,0.07776666169830958,15805.670881153816,716.4296884884184,250,15339.241192665397,19433.276051376,4094.0348587106037
