,value
capex_pv,0.0
capex_battery,2.4967528658816116e-12
capex_total,2.4967528658816116e-12
export_revenue_total,1273.892324719692
import_cost_total,-2.9103830456733704e-11
opex_total,13140.000000000005
net_cost,11866.107675280286
annual_cash_flow,"[np.float64(-2.4967528658816116e-12), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428), np.float64(-395.5369225093428)]"
irr,
npv,-4908.2339610156
