Date and Time,In_Supply,PV_Generation Actual,PV Simualted,Consumed,PV_Export
2024-01-01 00:30,2.611,0.00000,0,2.61100,0
2024-01-01 01:00,2.715,0.00000,0,2.71500,0
2024-01-01 01:30,1.884,0.00000,0,1.88400,0
2024-01-01 02:00,0,0.00000,0,0.00000,0
2024-01-01 02:30,0,0.00000,0,0.00000,0
2024-01-01 03:00,0,0.00000,0,0.00000,0
2024-01-01 03:30,0,0.00000,0,0.00000,0
2024-01-01 04:00,0,0.00000,0,0.00000,0
2024-01-01 04:30,0,0.00611,0.006167428,0.00611,0
2024-01-01 05:00,0,0.00065,0.012334856,0.00065,0
2024-01-01 05:30,0,0.04569,0.194428118,0.04569,0
2024-01-01 06:00,0,0.07568,0.37652138,0.07568,0
2024-01-01 06:30,0,0.25356,0.611095538,0.25356,0
2024-01-01 07:00,0,0.97180,0.845669697,0.97180,0
2024-01-01 07:30,0,0.85248,1.034883929,0.85248,0
2024-01-01 08:00,0.88,1.44817,1.224098161,2.32817,0
2024-01-01 08:30,1.169,1.62749,1.392023925,2.70849,0.088
2024-01-01 09:00,0.796,1.77464,1.559949689,2.37264,0.198
2024-01-01 09:30,1.138,1.87985,1.646023289,2.94085,0.077
2024-01-01 10:00,0.505,1.98680,1.732096889,2.22180,0.27
2024-01-01 10:30,1.694,2.00096,1.773657779,3.69196,0.003
2024-01-01 11:00,1.124,2.01739,1.81521867,3.13539,0.006
2024-01-01 11:30,1.862,2.02659,1.816085664,3.88859,0
2024-01-01 12:00,1.67,1.98443,1.816952658,3.65443,0
2024-01-01 12:30,3.439,1.89572,1.773833288,5.33472,0
2024-01-01 13:00,2.492,1.78809,1.730713918,4.28009,0
2024-01-01 13:30,3.193,1.67550,1.631786081,4.86850,0
2024-01-01 14:00,2.469,1.51592,1.532858245,3.98492,0
2024-01-01 14:30,3.058,1.32975,1.412531461,4.38775,0
2024-01-01 15:00,1.54,1.09856,1.292204678,2.62756,0.011
2024-01-01 15:30,3.411,0.85892,1.113218216,4.26992,0
2024-01-01 16:00,3.586,0.62218,0.934231754,4.20818,0
2024-01-01 16:30,5.122,0.38332,0.718882618,5.50532,0
2024-01-01 17:00,4.391,0.15317,0.503533483,4.54417,0
2024-01-01 17:30,6.294,0.05345,0.31400155,6.34745,0
2024-01-01 18:00,5.046,0.02836,0.124469617,5.07436,0
2024-01-01 18:30,4.83,0.00102,0.062234808,4.83102,0
2024-01-01 19:00,4.427,0.00000,0,4.42700,0
2024-01-01 19:30,3.883,0.00000,0,3.88300,0
2024-01-01 20:00,3.368,0.00000,0,3.36800,0
2024-01-01 20:30,2.561,0.00000,0,2.56100,0
2024-01-01 21:00,3.273,0.00000,0,3.27300,0
2024-01-01 21:30,2.674,0.00000,0,2.67400,0
2024-01-01 22:00,3.427,0.00000,0,3.42700,0
2024-01-01 22:30,2.416,0.00000,0,2.41600,0
2024-01-01 23:00,2.662,0.00000,0,2.66200,0
2024-01-01 23:30,2.635,0.00000,0,2.63500,0
2024-01-02 00:00,2.87,0.00000,0,2.87000,0
2024-01-02 00:30,2.75,0.00000,0,2.75000,0
2024-01-02 01:00,2.636,0.00000,0,2.63600,0
2024-01-02 01:30,2.62,0.00000,0,2.62000,0
2024-01-02 02:00,2.531,0.00000,0,2.53100,0
2024-01-02 02:30,2.392,0.00000,0,2.39200,0
2024-01-02 03:00,2.5,0.00000,0,2.50000,0
2024-01-02 03:30,2.328,0.00000,0,2.32800,0
2024-01-02 04:00,2.494,0.00000,0,2.49400,0
2024-01-02 04:30,2.303,0.00753,0.005249054,2.31053,0
2024-01-02 05:00,2.367,0.03944,0.010498108,2.40644,0
2024-01-02 05:30,2.265,0.06076,0.255187975,2.32576,0
2024-01-02 06:00,2.111,0.28270,0.499877842,2.39370,0
2024-01-02 06:30,2.926,0.80683,0.720883711,3.73283,0
2024-01-02 07:00,2.456,1.06222,0.941889581,3.51822,0
2024-01-02 07:30,1.138,1.28906,1.139715337,2.39606,0.031
2024-01-02 08:00,1.313,1.49926,1.337541094,2.73526,0.077
