Date and Time,PV Generated (kWh),Consumption (kWh)
1/1/2024 0:00,0,2.611
1/1/2024 0:30,0,2.715
1/1/2024 1:00,0,1.884
1/1/2024 1:30,0,0
1/1/2024 2:00,0,0
1/1/2024 2:30,0,0
1/1/2024 3:00,0,0
1/1/2024 3:30,0,0
1/1/2024 4:00,0,0
1/1/2024 4:30,0,0
1/1/2024 5:00,0,0.00611
1/1/2024 5:30,0,0.00065
1/1/2024 6:00,0.006167428,0.04569
1/1/2024 6:30,0.012334856,0.07568
1/1/2024 7:00,0.194428118,0.25356
1/1/2024 7:30,0.37652138,1.8518
1/1/2024 8:00,0.611095538,1.93348
1/1/2024 8:30,0.845669697,2.04617
1/1/2024 9:00,1.034883929,2.68849
1/1/2024 9:30,1.224098161,2.00964
1/1/2024 10:00,1.392023925,3.57085
1/1/2024 10:30,1.559949689,3.1048
1/1/2024 11:00,1.646023289,3.86296
1/1/2024 11:30,1.732096889,3.68739
1/1/2024 12:00,1.773657779,5.46559
1/1/2024 12:30,1.81521867,4.47643
1/1/2024 13:00,1.816085664,5.08872
1/1/2024 13:30,1.816952658,4.25709
1/1/2024 14:00,1.773833288,4.7335
1/1/2024 14:30,1.730713918,3.04492
1/1/2024 15:00,1.631786081,4.74075
1/1/2024 15:30,1.532858245,4.68456
1/1/2024 16:00,1.412531461,5.98092
1/1/2024 16:30,1.292204678,5.01318
1/1/2024 17:00,1.113218216,6.67732
1/1/2024 17:30,0.934231754,5.19917
1/1/2024 18:00,0.718882618,4.88345
1/1/2024 18:30,0.503533483,4.45536
1/1/2024 19:00,0.31400155,3.88402
1/1/2024 19:30,0.124469617,3.368
1/1/2024 20:00,0.062234808,2.561
1/1/2024 20:30,0,3.273
1/1/2024 21:00,0,2.674
1/1/2024 21:30,0,3.427
1/1/2024 22:00,0,2.416
1/1/2024 22:30,0,2.662
1/1/2024 23:00,0,2.635
1/1/2024 23:30,0,2.87
2/1/2024 0:00,0,2.75
2/1/2024 0:30,0,2.636
2/1/2024 1:00,0,2.62
2/1/2024 1:30,0,2.531
2/1/2024 2:00,0,2.392
2/1/2024 2:30,0,2.5
2/1/2024 3:00,0,2.328
2/1/2024 3:30,0,2.494
2/1/2024 4:00,0,2.303
2/1/2024 4:30,0,2.367
2/1/2024 5:00,0,2.27253
2/1/2024 5:30,0,2.15044
2/1/2024 6:00,0.005249054,2.98676
2/1/2024 6:30,0.010498108,2.7387
2/1/2024 7:00,0.255187975,1.91383
2/1/2024 7:30,0.499877842,2.29822
2/1/2024 8:00,0.720883711,2.40406
2/1/2024 8:30,0.941889581,2.01026
2/1/2024 9:00,1.139715337,3.76716
2/1/2024 9:30,1.337541094,2.78429
2/1/2024 10:00,1.529953898,2.59642
2/1/2024 10:30,1.722366703,2.60124
2/1/2024 11:00,1.779204227,3.01466
2/1/2024 11:30,1.836041751,2.89573
2/1/2024 12:00,1.331459237,3.62141
2/1/2024 12:30,0.826876722,3.58043
2/1/2024 13:00,0.94829973,3.379
2/1/2024 13:30,1.069722738,3.45365
2/1/2024 14:00,0.966318919,2.10681
2/1/2024 14:30,0.862915101,3.3164
2/1/2024 15:00,0.891874661,3.1359
2/1/2024 15:30,0.920834221,3.14913
2/1/2024 16:00,0.851828694,3.78902
2/1/2024 16:30,0.782823167,4.28561
2/1/2024 17:00,0.654351644,3.54422
2/1/2024 17:30,0.525880121,4.01213
2/1/2024 18:00,0.42210414,4.35512
2/1/2024 18:30,0.318328159,3.62085
2/1/2024 19:00,0.224878418,2.98765
2/1/2024 19:30,0.131428676,2.759
2/1/2024 20:00,0.065714338,2.5
2/1/2024 20:30,0,2.729
2/1/2024 21:00,0,2.335
2/1/2024 21:30,0,2.522
2/1/2024 22:00,0,2.256
2/1/2024 22:30,0,2.327
2/1/2024 23:00,0,2.088
2/1/2024 23:30,0,2.546
3/1/2024 0:00,0,2.374
3/1/2024 0:30,0,2.109
3/1/2024 1:00,0,1.835
3/1/2024 1:30,0,2.384
3/1/2024 2:00,0,1.798
3/1/2024 2:30,0,2.26
3/1/2024 3:00,0,1.65
3/1/2024 3:30,0,2.051
3/1/2024 4:00,0,1.843
3/1/2024 4:30,0,2.064
3/1/2024 5:00,0,1.51952
3/1/2024 5:30,0,2.58314
3/1/2024 6:00,0.004201175,2.12896
3/1/2024 6:30,0.00840235,2.12685
3/1/2024 7:00,0.214929745,2.08736
3/1/2024 7:30,0.421457141,2.71243
3/1/2024 8:00,0.678956106,2.82479
3/1/2024 8:30,0.93645507,2.05873
3/1/2024 9:00,1.13612077,2.01613
3/1/2024 9:30,1.33578647,2.39595
3/1/2024 10:00,1.47754649,4.27432
3/1/2024 10:30,1.619306509,4.26661
3/1/2024 11:00,1.732400346,3.30869
3/1/2024 11:30,1.845494182,3.98796
3/1/2024 12:00,1.895242869,4.21658
3/1/2024 12:30,1.944991556,5.37809
3/1/2024 13:00,1.953734291,4.23331
3/1/2024 13:30,1.962477026,4.50242
3/1/2024 14:00,1.9076413,4.86973
3/1/2024 14:30,1.852805573,5.56683
3/1/2024 15:00,1.75099469,6.69954
3/1/2024 15:30,1.649183808,6.36797
3/1/2024 16:00,1.51911209,5.61068
3/1/2024 16:30,1.389040373,4.4253
3/1/2024 17:00,1.219186214,5.77493
3/1/2024 17:30,1.049332055,6.79553
3/1/2024 18:00,0.807856237,6.0705
3/1/2024 18:30,0.566380418,4.47234
3/1/2024 19:00,0.341000833,3.81637
3/1/2024 19:30,0.115621248,3.605
3/1/2024 20:00,0.057810624,3.12
3/1/2024 20:30,0,3.224
3/1/2024 21:00,0,2.874
3/1/2024 21:30,0,3.056
3/1/2024 22:00,0,2.872
3/1/2024 22:30,0,2.905
3/1/2024 23:00,0,2.523
3/1/2024 23:30,0,2.94
4/1/2024 0:00,0,2.77
4/1/2024 0:30,0,2.721
4/1/2024 1:00,0,2.471
4/1/2024 1:30,0,2.652
4/1/2024 2:00,0,2.215
4/1/2024 2:30,0,2.467
4/1/2024 3:00,0,2.432
4/1/2024 3:30,0,2.293
4/1/2024 4:00,0,1.991
4/1/2024 4:30,0,2.22501
4/1/2024 5:00,0,1.95168
4/1/2024 5:30,0,1.97135
4/1/2024 6:00,0.00291742,2.28531
4/1/2024 6:30,0.005834839,2.99159
4/1/2024 7:00,0.221683315,3.15919
4/1/2024 7:30,0.43753179,3.37563
4/1/2024 8:00,0.721350844,3.8169
4/1/2024 8:30,1.005169897,2.78959
4/1/2024 9:00,1.230065497,2.14478
4/1/2024 9:30,1.454961098,2.864
4/1/2024 10:00,1.611463936,2.88743
4/1/2024 10:30,1.767966775,3.60736
4/1/2024 11:00,1.879523452,4.2044
