Date and Time,Consumed (kWh)
1/1/2024 0:00,2.611
1/1/2024 0:30,2.715
1/1/2024 1:00,1.884
1/1/2024 1:30,0
1/1/2024 2:00,0
1/1/2024 2:30,0
1/1/2024 3:00,0
1/1/2024 3:30,0
1/1/2024 4:00,0
1/1/2024 4:30,0
1/1/2024 5:00,0.00611417
1/1/2024 5:30,0.00065025
1/1/2024 6:00,0.04568617
1/1/2024 6:30,0.07568164
1/1/2024 7:00,0.25356252
1/1/2024 7:30,1.85179859
1/1/2024 8:00,1.93347722
1/1/2024 8:30,2.04616724
1/1/2024 9:00,2.68849112
1/1/2024 9:30,2.00963888
1/1/2024 10:00,3.57084555
1/1/2024 10:30,3.10480083
1/1/2024 11:00,3.86296285
1/1/2024 11:30,3.68738803
1/1/2024 12:00,5.46558614
1/1/2024 12:30,4.47643479
1/1/2024 13:00,5.08872181
1/1/2024 13:30,4.257085
1/1/2024 14:00,4.73350162
1/1/2024 14:30,3.04491839
1/1/2024 15:00,4.74075167
1/1/2024 15:30,4.68455806
1/1/2024 16:00,5.98091666
1/1/2024 16:30,5.01318055
1/1/2024 17:00,6.67731973
1/1/2024 17:30,5.19916722
1/1/2024 18:00,4.88344529
1/1/2024 18:30,4.45535917
1/1/2024 19:00,3.88402444
1/1/2024 19:30,3.368
1/1/2024 20:00,2.561
1/1/2024 20:30,3.273
1/1/2024 21:00,2.674
1/1/2024 21:30,3.427
1/1/2024 22:00,2.416
1/1/2024 22:30,2.662
1/1/2024 23:00,2.635
1/1/2024 23:30,2.87
2/1/2024 0:00,2.75
2/1/2024 0:30,2.636
2/1/2024 1:00,2.62
2/1/2024 1:30,2.531
2/1/2024 2:00,2.392
2/1/2024 2:30,2.5
2/1/2024 3:00,2.328
2/1/2024 3:30,2.494
2/1/2024 4:00,2.303
2/1/2024 4:30,2.367
2/1/2024 5:00,2.27252833
2/1/2024 5:30,2.15043528
2/1/2024 6:00,2.98675972
2/1/2024 6:30,2.73869944
2/1/2024 7:00,1.91382575
2/1/2024 7:30,2.2982198
2/1/2024 8:00,2.40406044
2/1/2024 8:30,2.01025735
2/1/2024 9:00,3.76716028
2/1/2024 9:30,2.78428974
2/1/2024 10:00,2.59641528
2/1/2024 10:30,2.60123695
2/1/2024 11:00,3.01466084
2/1/2024 11:30,2.89572917
2/1/2024 12:00,3.62140973
2/1/2024 12:30,3.580425
2/1/2024 13:00,3.37899556
2/1/2024 13:30,3.45365496
2/1/2024 14:00,2.10680821
2/1/2024 14:30,3.31639949
2/1/2024 15:00,3.13590107
2/1/2024 15:30,3.14913148
2/1/2024 16:00,3.78901795
2/1/2024 16:30,4.28561302
2/1/2024 17:00,3.54421719
2/1/2024 17:30,4.01212555
2/1/2024 18:00,4.35512306
2/1/2024 18:30,3.62085216
2/1/2024 19:00,2.98764673
2/1/2024 19:30,2.759
2/1/2024 20:00,2.5
2/1/2024 20:30,2.729
2/1/2024 21:00,2.335
2/1/2024 21:30,2.522
2/1/2024 22:00,2.256
2/1/2024 22:30,2.327
2/1/2024 23:00,2.088
2/1/2024 23:30,2.546
3/1/2024 0:00,2.374
3/1/2024 0:30,2.109
3/1/2024 1:00,1.835
3/1/2024 1:30,2.384
3/1/2024 2:00,1.798
3/1/2024 2:30,2.26
3/1/2024 3:00,1.65
3/1/2024 3:30,2.051
3/1/2024 4:00,1.843
3/1/2024 4:30,2.06400003
3/1/2024 5:00,1.5195163
3/1/2024 5:30,2.58314171
3/1/2024 6:00,2.12896222
3/1/2024 6:30,2.12684723
3/1/2024 7:00,2.08735529
3/1/2024 7:30,2.71242528
3/1/2024 8:00,2.82479022
3/1/2024 8:30,2.05872618
3/1/2024 9:00,2.01613444
3/1/2024 9:30,2.39594944
3/1/2024 10:00,4.27431925
3/1/2024 10:30,4.26660998
3/1/2024 11:00,3.30868811
3/1/2024 11:30,3.9879571
3/1/2024 12:00,4.2165786
3/1/2024 12:30,5.37808657
3/1/2024 13:00,4.23330609
3/1/2024 13:30,4.50242456
3/1/2024 14:00,4.86972833
3/1/2024 14:30,5.56683376
3/1/2024 15:00,6.69953994
3/1/2024 15:30,6.36797023
3/1/2024 16:00,5.61067796
3/1/2024 16:30,4.42530147
3/1/2024 17:00,5.77493249
3/1/2024 17:30,6.79553221
3/1/2024 18:00,6.07049737
3/1/2024 18:30,4.47234445
3/1/2024 19:00,3.81636985
3/1/2024 19:30,3.605
3/1/2024 20:00,3.12
3/1/2024 20:30,3.224
3/1/2024 21:00,2.874
3/1/2024 21:30,3.056
3/1/2024 22:00,2.872
3/1/2024 22:30,2.905
3/1/2024 23:00,2.523
3/1/2024 23:30,2.94
4/1/2024 0:00,2.77
4/1/2024 0:30,2.721
4/1/2024 1:00,2.471
4/1/2024 1:30,2.652
4/1/2024 2:00,2.215
4/1/2024 2:30,2.467
4/1/2024 3:00,2.432
4/1/2024 3:30,2.293
4/1/2024 4:00,1.991
4/1/2024 4:30,2.22500781
4/1/2024 5:00,1.95167631
4/1/2024 5:30,1.97134921
4/1/2024 6:00,2.28530861
4/1/2024 6:30,2.99159444
4/1/2024 7:00,3.15918605
4/1/2024 7:30,3.37563328
4/1/2024 8:00,3.81689884
4/1/2024 8:30,2.78958937
4/1/2024 9:00,2.1447772
4/1/2024 9:30,2.86400474
4/1/2024 10:00,2.88743256
4/1/2024 10:30,3.60735815
4/1/2024 11:00,4.20440194
4/1/2024 11:30,3.90512856
4/1/2024 12:00,4.1327652
4/1/2024 12:30,3.45999
4/1/2024 13:00,4.38589338
4/1/2024 13:30,4.37525191
4/1/2024 14:00,5.13899361
4/1/2024 14:30,4.82977555
4/1/2024 15:00,5.79557258
4/1/2024 15:30,6.26943745
4/1/2024 16:00,5.74677117
4/1/2024 16:30,5.66091731
4/1/2024 17:00,5.89605538
4/1/2024 17:30,5.84210472
4/1/2024 18:00,5.54123473
4/1/2024 18:30,5.49326857
4/1/2024 19:00,4.80929589
4/1/2024 19:30,3.59
4/1/2024 20:00,3.63
4/1/2024 20:30,3.223
4/1/2024 21:00,3.921
4/1/2024 21:30,3.202
4/1/2024 22:00,3.193
4/1/2024 22:30,2.702
4/1/2024 23:00,3.137
4/1/2024 23:30,3.076
5/1/2024 0:00,3.489
5/1/2024 0:30,2.902
5/1/2024 1:00,3.055
5/1/2024 1:30,2.579
5/1/2024 2:00,2.725
5/1/2024 2:30,2.651
5/1/2024 3:00,2.537
5/1/2024 3:30,2.408
5/1/2024 4:00,2.637
5/1/2024 4:30,2.52600469
5/1/2024 5:00,2.81233189
5/1/2024 5:30,2.86700876
5/1/2024 6:00,3.32744244
5/1/2024 6:30,3.11930361
5/1/2024 7:00,3.80706832
5/1/2024 7:30,4.8682968
5/1/2024 8:00,5.7100147
5/1/2024 8:30,4.98789825
5/1/2024 9:00,4.1705945
5/1/2024 9:30,4.45126939
5/1/2024 10:00,4.04543361
5/1/2024 10:30,5.32371556
5/1/2024 11:00,6.29988329
5/1/2024 11:30,5.98979183
5/1/2024 12:00,5.96412185
5/1/2024 12:30,5.32262167
5/1/2024 13:00,6.12614056
5/1/2024 13:30,6.31073216
5/1/2024 14:00,7.05831728
5/1/2024 14:30,6.97492334
5/1/2024 15:00,6.82155922
5/1/2024 15:30,5.72016708
5/1/2024 16:00,7.42003913
5/1/2024 16:30,6.31596569
5/1/2024 17:00,7.82399223
5/1/2024 17:30,6.83375639
5/1/2024 18:00,5.91244875
5/1/2024 18:30,5.61043098
5/1/2024 19:00,5.085
5/1/2024 19:30,4.593
5/1/2024 20:00,4.309
5/1/2024 20:30,4.106
5/1/2024 21:00,3.504
5/1/2024 21:30,3.265
5/1/2024 22:00,3.105
5/1/2024 22:30,3.028
5/1/2024 23:00,3.06
5/1/2024 23:30,2.814
6/1/2024 0:00,3.857
6/1/2024 0:30,3.237
6/1/2024 1:00,2.786
6/1/2024 1:30,2.473
6/1/2024 2:00,2.908
6/1/2024 2:30,2.593
6/1/2024 3:00,2.831
6/1/2024 3:30,2.595
6/1/2024 4:00,2.633
6/1/2024 4:30,2.354
6/1/2024 5:00,2.8420023
6/1/2024 5:30,3.62261497
6/1/2024 6:00,2.38756682
6/1/2024 6:30,2.42061593
6/1/2024 7:00,2.12988945
6/1/2024 7:30,2.61134083
6/1/2024 8:00,2.6273943
6/1/2024 8:30,2.26846638
6/1/2024 9:00,1.97666391
6/1/2024 9:30,2.34937627
6/1/2024 10:00,2.05242361
6/1/2024 10:30,2.04921889
6/1/2024 11:00,2.05993225
6/1/2024 11:30,1.46247601
6/1/2024 12:00,1.12633792
6/1/2024 12:30,2.88696246
6/1/2024 13:00,2.69477362
6/1/2024 13:30,2.36732403
6/1/2024 14:00,2.51042442
6/1/2024 14:30,2.31319268
6/1/2024 15:00,1.34626139
6/1/2024 15:30,2.17989711
6/1/2024 16:00,2.6712292
6/1/2024 16:30,2.40765391
6/1/2024 17:00,2.93465773
6/1/2024 17:30,2.03026011
6/1/2024 18:00,2.03487138
6/1/2024 18:30,2.34775166
6/1/2024 19:00,1.88599612
6/1/2024 19:30,1.994
6/1/2024 20:00,1.77
6/1/2024 20:30,2.045
6/1/2024 21:00,1.665
6/1/2024 21:30,1.911
6/1/2024 22:00,1.802
6/1/2024 22:30,1.807
6/1/2024 23:00,1.723
6/1/2024 23:30,2.325
7/1/2024 0:00,2.052
7/1/2024 0:30,1.787
7/1/2024 1:00,2.119
7/1/2024 1:30,1.65
7/1/2024 2:00,1.685
7/1/2024 2:30,1.671
7/1/2024 3:00,1.478
7/1/2024 3:30,1.667
7/1/2024 4:00,1.79
7/1/2024 4:30,1.63300007
7/1/2024 5:00,1.60145967
7/1/2024 5:30,1.48223722
7/1/2024 6:00,1.608525
7/1/2024 6:30,0.96483166
7/1/2024 7:00,1.16500484
7/1/2024 7:30,1.57169271
7/1/2024 8:00,1.79728605
7/1/2024 8:30,0.86156194
7/1/2024 9:00,1.55623612
7/1/2024 9:30,2.03134534
7/1/2024 10:00,3.04031107
7/1/2024 10:30,4.01850008
7/1/2024 11:00,3.12587043
7/1/2024 11:30,3.68369388
7/1/2024 12:00,3.078572
7/1/2024 12:30,4.17929211
7/1/2024 13:00,3.19065413
7/1/2024 13:30,4.21813982
7/1/2024 14:00,3.74769972
7/1/2024 14:30,5.3646355
7/1/2024 15:00,5.06881648
7/1/2024 15:30,4.95315899
7/1/2024 16:00,4.73637376
7/1/2024 16:30,5.66922305
7/1/2024 17:00,4.40733111
7/1/2024 17:30,5.41826123
7/1/2024 18:00,4.47646744
7/1/2024 18:30,5.24706281
7/1/2024 19:00,4.27574851
7/1/2024 19:30,5.02
7/1/2024 20:00,4.847
7/1/2024 20:30,5.4
7/1/2024 21:00,4.379
7/1/2024 21:30,4.267
7/1/2024 22:00,3.889
7/1/2024 22:30,3.955
7/1/2024 23:00,3.757
7/1/2024 23:30,3.81
8/1/2024 0:00,4.181
8/1/2024 0:30,3.408
8/1/2024 1:00,3.623
8/1/2024 1:30,3.295
8/1/2024 2:00,3.782
8/1/2024 2:30,3.3
8/1/2024 3:00,3.537
8/1/2024 3:30,3.207
8/1/2024 4:00,3.381
8/1/2024 4:30,3.20200008
8/1/2024 5:00,3.34252046
8/1/2024 5:30,3.37930203
8/1/2024 6:00,2.9736041
8/1/2024 6:30,2.5774025
8/1/2024 7:00,2.7534606
8/1/2024 7:30,2.33999249
8/1/2024 8:00,3.46123206
8/1/2024 8:30,3.21992207
8/1/2024 9:00,3.55066138
8/1/2024 9:30,2.8023564
8/1/2024 10:00,3.71026861
8/1/2024 10:30,2.71763457
8/1/2024 11:00,3.47002835
8/1/2024 11:30,3.15710698
8/1/2024 12:00,4.2494415
8/1/2024 12:30,2.90736778
8/1/2024 13:00,5.10453251
8/1/2024 13:30,4.61189722
8/1/2024 14:00,5.56985139
8/1/2024 14:30,3.82453583
8/1/2024 15:00,4.71380822
8/1/2024 15:30,4.09417037
8/1/2024 16:00,5.75531116
8/1/2024 16:30,4.31998083
8/1/2024 17:00,5.30275055
8/1/2024 17:30,4.73127158
8/1/2024 18:00,5.33023371
8/1/2024 18:30,4.33517007
8/1/2024 19:00,5.88412771
8/1/2024 19:30,4.35
8/1/2024 20:00,4.512
8/1/2024 20:30,3.8
8/1/2024 21:00,4.079
8/1/2024 21:30,3.636
8/1/2024 22:00,4.344
8/1/2024 22:30,3.942
8/1/2024 23:00,3.746
8/1/2024 23:30,3.58
9/1/2024 0:00,3.906
9/1/2024 0:30,3.739
9/1/2024 1:00,3.554
9/1/2024 1:30,3.879
9/1/2024 2:00,3.448
9/1/2024 2:30,3.545
9/1/2024 3:00,3.285
9/1/2024 3:30,3.564
9/1/2024 4:00,3.195
9/1/2024 4:30,3.04000015
9/1/2024 5:00,2.70649067
9/1/2024 5:30,3.09985808
9/1/2024 6:00,2.33899139
9/1/2024 6:30,3.00849195
9/1/2024 7:00,2.62886784
9/1/2024 7:30,3.6457007
9/1/2024 8:00,4.37417976
9/1/2024 8:30,3.15640617
9/1/2024 9:00,3.03690389
9/1/2024 9:30,3.14122139
9/1/2024 10:00,3.90714989
9/1/2024 10:30,2.98372279
9/1/2024 11:00,3.0322773
9/1/2024 11:30,4.68567975
9/1/2024 12:00,3.70774472
9/1/2024 12:30,3.68662889
9/1/2024 13:00,2.77858037
9/1/2024 13:30,3.64563982
9/1/2024 14:00,3.39268119
9/1/2024 14:30,3.82284723
9/1/2024 15:00,3.94806555
9/1/2024 15:30,3.76790965
9/1/2024 16:00,4.59413436
9/1/2024 16:30,4.68660329
9/1/2024 17:00,3.77129243
9/1/2024 17:30,3.97575803
9/1/2024 18:00,3.8834325
9/1/2024 18:30,3.85406413
9/1/2024 19:00,3.98894671
9/1/2024 19:30,3.631
9/1/2024 20:00,3.581
9/1/2024 20:30,3.36
9/1/2024 21:00,3.378
9/1/2024 21:30,3.27
9/1/2024 22:00,2.942
9/1/2024 22:30,3.393
9/1/2024 23:00,3.204
9/1/2024 23:30,3.368
10/1/2024 0:00,3.404
10/1/2024 0:30,3
10/1/2024 1:00,2.814
10/1/2024 1:30,2.978
10/1/2024 2:00,2.65
10/1/2024 2:30,2.967
10/1/2024 3:00,2.674
10/1/2024 3:30,3.056
10/1/2024 4:00,2.626
10/1/2024 4:30,3.002
10/1/2024 5:00,2.36674723
10/1/2024 5:30,3.1305623
10/1/2024 6:00,2.4677377
10/1/2024 6:30,3.18335862
10/1/2024 7:00,2.26042084
10/1/2024 7:30,2.42336348
10/1/2024 8:00,2.27738652
10/1/2024 8:30,3.21681959
10/1/2024 9:00,1.3523307
10/1/2024 9:30,3.63936613
10/1/2024 10:00,2.43407917
10/1/2024 10:30,3.70253768
10/1/2024 11:00,3.42741568
10/1/2024 11:30,4.81074393
10/1/2024 12:00,5.72476689
10/1/2024 12:30,3.85780445
10/1/2024 13:00,4.55859222
10/1/2024 13:30,5.51849175
10/1/2024 14:00,4.56157159
10/1/2024 14:30,4.35399832
10/1/2024 15:00,3.17069583
10/1/2024 15:30,3.52704017
10/1/2024 16:00,3.49643947
10/1/2024 16:30,3.18716021
10/1/2024 17:00,2.55376075
10/1/2024 17:30,3.08482916
10/1/2024 18:00,3.33189528
10/1/2024 18:30,3.30968503
10/1/2024 19:00,3.09848498
10/1/2024 19:30,2.971
10/1/2024 20:00,2.877
10/1/2024 20:30,2.78
10/1/2024 21:00,2.943
