datetime,ac_output_kwh,PV_Generation_Actual (kWh),month,day,hour,minute
2024-01-01 00:30:00,0.0,0.0,1,1,0,30
2024-01-01 01:00:00,0.0,0.0,1,1,1,0
2024-01-01 01:30:00,0.0007930524613967305,0.0007930524613967305,1,1,1,30
2024-01-01 02:00:00,0.0,0.0,1,1,2,0
2024-01-01 02:30:00,0.0,0.0,1,1,2,30
2024-01-01 03:00:00,0.0,0.0,1,1,3,0
2024-01-01 03:30:00,0.008723577075364036,0.008723577075364036,1,1,3,30
2024-01-01 04:00:00,0.0,0.0,1,1,4,0
2024-01-01 04:30:00,0.0,0.0,1,1,4,30
2024-01-01 05:00:00,0.03827454221671543,0.03827454221671543,1,1,5,0
2024-01-01 05:30:00,0.2987812719267213,0.2987812719267213,1,1,5,30
2024-01-01 06:00:00,0.6923376605465792,0.6923376605465792,1,1,6,0
2024-01-01 06:30:00,1.1255647114917238,1.1255647114917238,1,1,6,30
2024-01-01 07:00:00,1.5395910649116868,1.5395910649116868,1,1,7,0
2024-01-01 07:30:00,1.8993086779330168,1.8993086779330168,1,1,7,30
2024-01-01 08:00:00,2.2301551388562344,2.2301551388562344,1,1,8,0
2024-01-01 08:30:00,2.5563422335923236,2.5563422335923236,1,1,8,30
2024-01-01 09:00:00,2.8366329073201433,2.8366329073201433,1,1,9,0
2024-01-01 09:30:00,3.029460783440548,3.029460783440548,1,1,9,30
2024-01-01 10:00:00,3.1573910389744966,3.1573910389744966,1,1,10,0
2024-01-01 10:30:00,3.2512990244834867,3.2512990244834867,1,1,10,30
2024-01-01 11:00:00,3.3111692310710747,3.3111692310710747,1,1,11,0
2024-01-01 11:30:00,3.3311492225948056,3.3311492225948056,1,1,11,30
2024-01-01 12:00:00,3.3129297133861355,3.3129297133861355,1,1,12,0
2024-01-01 12:30:00,3.2568958872027998,3.2568958872027998,1,1,12,30
2024-01-01 13:00:00,3.150667655033745,3.150667655033745,1,1,13,0
2024-01-01 13:30:00,2.9868887725592894,2.9868887725592894,1,1,13,30
2024-01-01 14:00:00,2.7910636469940306,2.7910636469940306,1,1,14,0
2024-01-01 14:30:00,2.5854781369183555,2.5854781369183555,1,1,14,30
2024-01-01 15:00:00,2.3466832548415377,2.3466832548415377,1,1,15,0
